"lang","country_alpha2_code","continent"
"AF","FK","SUID-AMERIKA"
"AF","FM","OSEANIË"
"AF","FO","EUROPA"
"AF","FR","EUROPA"
"AF","GA","AFRIKA"
"AF","GB","EUROPA"
"AF","GD","NOORD-AMERIKA"
"AF","GE","ASIË"
"AF","GE","EUROPA"
"AF","GF","SUID-AMERIKA"
"AF","GG","EUROPA"
"AF","GH","AFRIKA"
"AF","GI","EUROPA"
"AF","GL","NOORD-AMERIKA"
"AF","GM","AFRIKA"
"AF","GN","AFRIKA"
"AF","GP","NOORD-AMERIKA"
"AF","GQ","AFRIKA"
"AF","GR","EUROPA"
"AF","GS","ANTARTIKA"
"AF","GT","NOORD-AMERIKA"
"AF","GU","OSEANIË"
"AF","GW","AFRIKA"
"AF","GY","SUID-AMERIKA"
"AF","HK","ASIË"
"AF","HM","ANTARTIKA"
"AF","HN","NOORD-AMERIKA"
"AF","HR","EUROPA"
"AF","HT","NOORD-AMERIKA"
"AF","HU","EUROPA"
"AF","ID","ASIË"
"AF","IE","EUROPA"
"AF","IL","ASIË"
"AF","IM","EUROPA"
"AF","IN","ASIË"
"AF","IO","ASIË"
"AF","IQ","ASIË"
"AF","IR","ASIË"
"AF","IS","EUROPA"
"AF","IT","EUROPA"
"AF","JE","EUROPA"
"AF","JM","NOORD-AMERIKA"
"AF","JO","ASIË"
"AF","JP","ASIË"
"AF","KE","AFRIKA"
"AF","KG","ASIË"
"AF","KH","ASIË"
"AF","KI","OSEANIË"
"AF","KM","AFRIKA"
"AF","KN","NOORD-AMERIKA"
"AF","KP","ASIË"
"AF","KR","ASIË"
"AF","KW","ASIË"
"AF","KY","NOORD-AMERIKA"
"AF","KZ","ASIË"
"AF","KZ","EUROPA"
"AF","LA","ASIË"
"AF","LB","ASIË"
"AF","LC","NOORD-AMERIKA"
"AF","LI","EUROPA"
"AF","LK","ASIË"
"AF","LR","AFRIKA"
"AF","LS","AFRIKA"
"AF","LT","EUROPA"
"AF","LU","EUROPA"
"AF","LV","EUROPA"
"AF","LY","AFRIKA"
"AF","MA","AFRIKA"
"AF","MC","EUROPA"
"AF","MD","EUROPA"
"AF","ME","EUROPA"
"AF","MF","NOORD-AMERIKA"
"AF","MG","AFRIKA"
"AF","MH","OSEANIË"
"AF","MK","EUROPA"
"AF","ML","AFRIKA"
"AF","MM","ASIË"
"AF","MN","ASIË"
"AF","MO","ASIË"
"AF","MP","OSEANIË"
"AF","MQ","NOORD-AMERIKA"
"AF","MR","AFRIKA"
"AF","MS","NOORD-AMERIKA"
"AF","MT","EUROPA"
"AF","MU","AFRIKA"
"AF","MV","ASIË"
"AF","MW","AFRIKA"
"AF","MX","NOORD-AMERIKA"
"AF","MY","ASIË"
"AF","MZ","AFRIKA"
"AF","NA","AFRIKA"
"AF","NC","OSEANIË"
"AF","NE","AFRIKA"
"AF","NF","OSEANIË"
"AF","NG","AFRIKA"
"AF","NI","NOORD-AMERIKA"
"AF","NL","EUROPA"
"AF","NO","EUROPA"
"AF","NP","ASIË"
"AF","NR","OSEANIË"
"AF","NU","OSEANIË"
"AF","NZ","OSEANIË"
"AF","OM","ASIË"
"AF","PA","NOORD-AMERIKA"
"AF","PE","SUID-AMERIKA"
"AF","PF","OSEANIË"
"AF","PG","OSEANIË"
"AF","PH","ASIË"
"AF","PK","ASIË"
"AF","PL","EUROPA"
"AF","PM","NOORD-AMERIKA"
"AF","PN","OSEANIË"
"AF","PR","NOORD-AMERIKA"
"AF","PS","ASIË"
"AF","PT","EUROPA"
"AF","PW","OSEANIË"
"AF","PY","SUID-AMERIKA"
"AF","QA","ASIË"
"AF","RE","AFRIKA"
"AF","RO","EUROPA"
"AF","RS","EUROPA"
"AF","RU","ASIË"
"AF","RU","EUROPA"
"AF","RW","AFRIKA"
"AF","SA","ASIË"
"AF","SB","OSEANIË"
"AF","SC","AFRIKA"
"AF","SD","AFRIKA"
"AF","SE","EUROPA"
"AF","SG","ASIË"
"AF","SH","AFRIKA"
"AF","SI","EUROPA"
"AF","SJ","EUROPA"
"AF","SK","EUROPA"
"AF","SL","AFRIKA"
"AF","SM","EUROPA"
"AF","SN","AFRIKA"
"AF","SO","AFRIKA"
"AF","SR","SUID-AMERIKA"
"AF","SS","AFRIKA"
"AF","ST","AFRIKA"
"AF","SV","NOORD-AMERIKA"
"AF","SX","NOORD-AMERIKA"
"AF","SY","ASIË"
"AF","SZ","AFRIKA"
"AF","TC","NOORD-AMERIKA"
"AF","TD","AFRIKA"
"AF","TF","ANTARTIKA"
"AF","TG","AFRIKA"
"AF","TH","ASIË"
"AF","TJ","ASIË"
"AF","TK","OSEANIË"
"AF","TL","ASIË"
"AF","TM","ASIË"
"AF","TN","AFRIKA"
"AF","TO","OSEANIË"
"AF","TR","ASIË"
"AF","TR","EUROPA"
"AF","TT","NOORD-AMERIKA"
"AF","TV","OSEANIË"
"AF","TW","ASIË"
"AF","TZ","AFRIKA"
"AF","UA","EUROPA"
"AF","UG","AFRIKA"
"AF","UM","NOORD-AMERIKA"
"AF","UM","OSEANIË"
"AF","US","NOORD-AMERIKA"
"AF","UY","SUID-AMERIKA"
"AF","UZ","ASIË"
"AF","VA","EUROPA"
"AF","VC","NOORD-AMERIKA"
"AF","VE","SUID-AMERIKA"
"AF","VG","NOORD-AMERIKA"
"AF","VI","NOORD-AMERIKA"
"AF","VN","ASIË"
"AF","VU","OSEANIË"
"AF","WF","OSEANIË"
"AF","WS","OSEANIË"
"AF","YE","ASIË"
"AF","YT","AFRIKA"
"AF","ZA","AFRIKA"
"AF","ZM","AFRIKA"
"AF","ZW","AFRIKA"
"AM","AD","አውሮፓ"
"AM","AE","እስያ"
"AM","AF","እስያ"
"AM","AG","ሰሜን አሜሪካ"
"AM","AI","ሰሜን አሜሪካ"
"AM","AL","አውሮፓ"
"AM","AM","አውሮፓ"
"AM","AM","እስያ"
"AM","AO","አፍሪቃ"
"AM","AQ","አንታርክቲካ"
"AM","AR","ደቡብ አሜሪካ"
"AM","AS","ኦሺያኒያ"
"AM","AT","አውሮፓ"
"AM","AU","ኦሺያኒያ"
"AM","AW","ሰሜን አሜሪካ"
"AM","AX","አውሮፓ"
"AM","AZ","አውሮፓ"
"AM","AZ","እስያ"
"AM","BA","አውሮፓ"
"AM","BB","ሰሜን አሜሪካ"
"AM","BD","እስያ"
"AM","BE","አውሮፓ"
"AM","BF","አፍሪቃ"
"AM","BG","አውሮፓ"
"AM","BH","እስያ"
"AM","BI","አፍሪቃ"
"AM","BJ","አፍሪቃ"
"AM","BL","ሰሜን አሜሪካ"
"AM","BM","ሰሜን አሜሪካ"
"AM","BN","እስያ"
"AM","BO","ደቡብ አሜሪካ"
"AM","BQ","ሰሜን አሜሪካ"
"AM","BR","ደቡብ አሜሪካ"
"AM","BS","ሰሜን አሜሪካ"
"AM","BT","እስያ"
"AM","BV","አንታርክቲካ"
"AM","BW","አፍሪቃ"
"AM","BY","አውሮፓ"
"AM","BZ","ሰሜን አሜሪካ"
"AM","CA","ሰሜን አሜሪካ"
"AM","CC","እስያ"
"AM","CD","አፍሪቃ"
"AM","CF","አፍሪቃ"
"AM","CG","አፍሪቃ"
"AM","CH","አውሮፓ"
"AM","CI","አፍሪቃ"
"AM","CK","ኦሺያኒያ"
"AM","CL","ደቡብ አሜሪካ"
"AM","CM","አፍሪቃ"
"AM","CN","እስያ"
"AM","CO","ደቡብ አሜሪካ"
"AM","CR","ሰሜን አሜሪካ"
"AM","CU","ሰሜን አሜሪካ"
"AM","CV","አፍሪቃ"
"AM","CW","ሰሜን አሜሪካ"
"AM","CX","እስያ"
"AM","CY","አውሮፓ"
"AM","CY","እስያ"
"AM","CZ","አውሮፓ"
"AM","DE","አውሮፓ"
"AM","DJ","አፍሪቃ"
"AM","DK","አውሮፓ"
"AM","DM","ሰሜን አሜሪካ"
"AM","DO","ሰሜን አሜሪካ"
"AM","DZ","አፍሪቃ"
"AM","EC","ደቡብ አሜሪካ"
"AM","EE","አውሮፓ"
"AM","EG","አፍሪቃ"
"AM","EH","አፍሪቃ"
"AM","ER","አፍሪቃ"
"AM","ES","አውሮፓ"
"AM","ET","አፍሪቃ"
"AM","FI","አውሮፓ"
"AM","FJ","ኦሺያኒያ"
"AM","FK","ደቡብ አሜሪካ"
"AM","FM","ኦሺያኒያ"
"AM","FO","አውሮፓ"
"AM","FR","አውሮፓ"
"AM","GA","አፍሪቃ"
"AM","GB","አውሮፓ"
"AM","GD","ሰሜን አሜሪካ"
"AM","GE","አውሮፓ"
"AM","GE","እስያ"
"AM","GF","ደቡብ አሜሪካ"
"AM","GG","አውሮፓ"
"AM","GH","አፍሪቃ"
"AM","GI","አውሮፓ"
"AM","GL","ሰሜን አሜሪካ"
"AM","GM","አፍሪቃ"
"AM","GN","አፍሪቃ"
"AM","GP","ሰሜን አሜሪካ"
"AM","GQ","አፍሪቃ"
"AM","GR","አውሮፓ"
"AM","GS","አንታርክቲካ"
"AM","GT","ሰሜን አሜሪካ"
"AM","GU","ኦሺያኒያ"
"AM","GW","አፍሪቃ"
"AM","GY","ደቡብ አሜሪካ"
"AM","HK","እስያ"
"AM","HM","አንታርክቲካ"
"AM","HN","ሰሜን አሜሪካ"
"AM","HR","አውሮፓ"
"AM","HT","ሰሜን አሜሪካ"
"AM","HU","አውሮፓ"
"AM","ID","እስያ"
"AM","IE","አውሮፓ"
"AM","IL","እስያ"
"AM","IM","አውሮፓ"
"AM","IN","እስያ"
"AM","IO","እስያ"
"AM","IQ","እስያ"
"AM","IR","እስያ"
"AM","IS","አውሮፓ"
"AM","IT","አውሮፓ"
"AM","JE","አውሮፓ"
"AM","JM","ሰሜን አሜሪካ"
"AM","JO","እስያ"
"AM","JP","እስያ"
"AM","KE","አፍሪቃ"
"AM","KG","እስያ"
"AM","KH","እስያ"
"AM","KI","ኦሺያኒያ"
"AM","KM","አፍሪቃ"
"AM","KN","ሰሜን አሜሪካ"
"AM","KP","እስያ"
"AM","KR","እስያ"
"AM","KW","እስያ"
"AM","KY","ሰሜን አሜሪካ"
"AM","KZ","አውሮፓ"
"AM","KZ","እስያ"
"AM","LA","እስያ"
"AM","LB","እስያ"
"AM","LC","ሰሜን አሜሪካ"
"AM","LI","አውሮፓ"
"AM","LK","እስያ"
"AM","LR","አፍሪቃ"
"AM","LS","አፍሪቃ"
"AM","LT","አውሮፓ"
"AM","LU","አውሮፓ"
"AM","LV","አውሮፓ"
"AM","LY","አፍሪቃ"
"AM","MA","አፍሪቃ"
"AM","MC","አውሮፓ"
"AM","MD","አውሮፓ"
"AM","ME","አውሮፓ"
"AM","MF","ሰሜን አሜሪካ"
"AM","MG","አፍሪቃ"
"AM","MH","ኦሺያኒያ"
"AM","MK","አውሮፓ"
"AM","ML","አፍሪቃ"
"AM","MM","እስያ"
"AM","MN","እስያ"
"AM","MO","እስያ"
"AM","MP","ኦሺያኒያ"
"AM","MQ","ሰሜን አሜሪካ"
"AM","MR","አፍሪቃ"
"AM","MS","ሰሜን አሜሪካ"
"AM","MT","አውሮፓ"
"AM","MU","አፍሪቃ"
"AM","MV","እስያ"
"AM","MW","አፍሪቃ"
"AM","MX","ሰሜን አሜሪካ"
"AM","MY","እስያ"
"AM","MZ","አፍሪቃ"
"AM","NA","አፍሪቃ"
"AM","NC","ኦሺያኒያ"
"AM","NE","አፍሪቃ"
"AM","NF","ኦሺያኒያ"
"AM","NG","አፍሪቃ"
"AM","NI","ሰሜን አሜሪካ"
"AM","NL","አውሮፓ"
"AM","NO","አውሮፓ"
"AM","NP","እስያ"
"AM","NR","ኦሺያኒያ"
"AM","NU","ኦሺያኒያ"
"AM","NZ","ኦሺያኒያ"
"AM","OM","እስያ"
"AM","PA","ሰሜን አሜሪካ"
"AM","PE","ደቡብ አሜሪካ"
"AM","PF","ኦሺያኒያ"
"AM","PG","ኦሺያኒያ"
"AM","PH","እስያ"
"AM","PK","እስያ"
"AM","PL","አውሮፓ"
"AM","PM","ሰሜን አሜሪካ"
"AM","PN","ኦሺያኒያ"
"AM","PR","ሰሜን አሜሪካ"
"AM","PS","እስያ"
"AM","PT","አውሮፓ"
"AM","PW","ኦሺያኒያ"
"AM","PY","ደቡብ አሜሪካ"
"AM","QA","እስያ"
"AM","RE","አፍሪቃ"
"AM","RO","አውሮፓ"
"AM","RS","አውሮፓ"
"AM","RU","አውሮፓ"
"AM","RU","እስያ"
"AM","RW","አፍሪቃ"
"AM","SA","እስያ"
"AM","SB","ኦሺያኒያ"
"AM","SC","አፍሪቃ"
"AM","SD","አፍሪቃ"
"AM","SE","አውሮፓ"
"AM","SG","እስያ"
"AM","SH","አፍሪቃ"
"AM","SI","አውሮፓ"
"AM","SJ","አውሮፓ"
"AM","SK","አውሮፓ"
"AM","SL","አፍሪቃ"
"AM","SM","አውሮፓ"
"AM","SN","አፍሪቃ"
"AM","SO","አፍሪቃ"
"AM","SR","ደቡብ አሜሪካ"
"AM","SS","አፍሪቃ"
"AM","ST","አፍሪቃ"
"AM","SV","ሰሜን አሜሪካ"
"AM","SX","ሰሜን አሜሪካ"
"AM","SY","እስያ"
"AM","SZ","አፍሪቃ"
"AM","TC","ሰሜን አሜሪካ"
"AM","TD","አፍሪቃ"
"AM","TF","አንታርክቲካ"
"AM","TG","አፍሪቃ"
"AM","TH","እስያ"
"AM","TJ","እስያ"
"AM","TK","ኦሺያኒያ"
"AM","TL","እስያ"
"AM","TM","እስያ"
"AM","TN","አፍሪቃ"
"AM","TO","ኦሺያኒያ"
"AM","TR","አውሮፓ"
"AM","TR","እስያ"
"AM","TT","ሰሜን አሜሪካ"
"AM","TV","ኦሺያኒያ"
"AM","TW","እስያ"
"AM","TZ","አፍሪቃ"
"AM","UA","አውሮፓ"
"AM","UG","አፍሪቃ"
"AM","UM","ሰሜን አሜሪካ"
"AM","UM","ኦሺያኒያ"
"AM","US","ሰሜን አሜሪካ"
"AM","UY","ደቡብ አሜሪካ"
"AM","UZ","እስያ"
"AM","VA","አውሮፓ"
"AM","VC","ሰሜን አሜሪካ"
"AM","VE","ደቡብ አሜሪካ"
"AM","VG","ሰሜን አሜሪካ"
"AM","VI","ሰሜን አሜሪካ"
"AM","VN","እስያ"
"AM","VU","ኦሺያኒያ"
"AM","WF","ኦሺያኒያ"
"AM","WS","ኦሺያኒያ"
"AM","YE","እስያ"
"AM","YT","አፍሪቃ"
"AM","ZA","አፍሪቃ"
"AM","ZM","አፍሪቃ"
"AM","ZW","አፍሪቃ"
"AR","AD","أوروبا"
"AR","AE","آسيا"
"AR","AF","آسيا"
"AR","AG","أمريكا الشمالية"
"AR","AI","أمريكا الشمالية"
"AR","AL","أوروبا"
"AR","AM","آسيا"
"AR","AM","أوروبا"
"AR","AO","أفريقيا"
"AR","AQ","انتاركتيكا"
"AR","AR","أمريكا الجنوبية"
"AR","AS","أوقيانوسيا"
"AR","AT","أوروبا"
"AR","AU","أوقيانوسيا"
"AR","AW","أمريكا الشمالية"
"AR","AX","أوروبا"
"AR","AZ","آسيا"
"AR","AZ","أوروبا"
"AR","BA","أوروبا"
"AR","BB","أمريكا الشمالية"
"AR","BD","آسيا"
"AR","BE","أوروبا"
"AR","BF","أفريقيا"
"AR","BG","أوروبا"
"AR","BH","آسيا"
"AR","BI","أفريقيا"
"AR","BJ","أفريقيا"
"AR","BL","أمريكا الشمالية"
"AR","BM","أمريكا الشمالية"
"AR","BN","آسيا"
"AR","BO","أمريكا الجنوبية"
"AR","BQ","أمريكا الشمالية"
"AR","BR","أمريكا الجنوبية"
"AR","BS","أمريكا الشمالية"
"AR","BT","آسيا"
"AR","BV","انتاركتيكا"
"AR","BW","أفريقيا"
"AR","BY","أوروبا"
"AR","BZ","أمريكا الشمالية"
"AR","CA","أمريكا الشمالية"
"AR","CC","آسيا"
"AR","CD","أفريقيا"
"AR","CF","أفريقيا"
"AR","CG","أفريقيا"
"AR","CH","أوروبا"
"AR","CI","أفريقيا"
"AR","CK","أوقيانوسيا"
"AR","CL","أمريكا الجنوبية"
"AR","CM","أفريقيا"
"AR","CN","آسيا"
"AR","CO","أمريكا الجنوبية"
"AR","CR","أمريكا الشمالية"
"AR","CU","أمريكا الشمالية"
"AR","CV","أفريقيا"
"AR","CW","أمريكا الشمالية"
"AR","CX","آسيا"
"AR","CY","آسيا"
"AR","CY","أوروبا"
"AR","CZ","أوروبا"
"AR","DE","أوروبا"
"AR","DJ","أفريقيا"
"AR","DK","أوروبا"
"AR","DM","أمريكا الشمالية"
"AR","DO","أمريكا الشمالية"
"AR","DZ","أفريقيا"
"AR","EC","أمريكا الجنوبية"
"AR","EE","أوروبا"
"AR","EG","أفريقيا"
"AR","EH","أفريقيا"
"AR","ER","أفريقيا"
"AR","ES","أوروبا"
"AR","ET","أفريقيا"
"AR","FI","أوروبا"
"AR","FJ","أوقيانوسيا"
"AR","FK","أمريكا الجنوبية"
"AR","FM","أوقيانوسيا"
"AR","FO","أوروبا"
"AR","FR","أوروبا"
"AR","GA","أفريقيا"
"AR","GB","أوروبا"
"AR","GD","أمريكا الشمالية"
"AR","GE","آسيا"
"AR","GE","أوروبا"
"AR","GF","أمريكا الجنوبية"
"AR","GG","أوروبا"
"AR","GH","أفريقيا"
"AR","GI","أوروبا"
"AR","GL","أمريكا الشمالية"
"AR","GM","أفريقيا"
"AR","GN","أفريقيا"
"AR","GP","أمريكا الشمالية"
"AR","GQ","أفريقيا"
"AR","GR","أوروبا"
"AR","GS","انتاركتيكا"
"AR","GT","أمريكا الشمالية"
"AR","GU","أوقيانوسيا"
"AR","GW","أفريقيا"
"AR","GY","أمريكا الجنوبية"
"AR","HK","آسيا"
"AR","HM","انتاركتيكا"
"AR","HN","أمريكا الشمالية"
"AR","HR","أوروبا"
"AR","HT","أمريكا الشمالية"
"AR","HU","أوروبا"
"AR","ID","آسيا"
"AR","IE","أوروبا"
"AR","IL","آسيا"
"AR","IM","أوروبا"
"AR","IN","آسيا"
"AR","IO","آسيا"
"AR","IQ","آسيا"
"AR","IR","آسيا"
"AR","IS","أوروبا"
"AR","IT","أوروبا"
"AR","JE","أوروبا"
"AR","JM","أمريكا الشمالية"
"AR","JO","آسيا"
"AR","JP","آسيا"
"AR","KE","أفريقيا"
"AR","KG","آسيا"
"AR","KH","آسيا"
"AR","KI","أوقيانوسيا"
"AR","KM","أفريقيا"
"AR","KN","أمريكا الشمالية"
"AR","KP","آسيا"
"AR","KR","آسيا"
"AR","KW","آسيا"
"AR","KY","أمريكا الشمالية"
"AR","KZ","آسيا"
"AR","KZ","أوروبا"
"AR","LA","آسيا"
"AR","LB","آسيا"
"AR","LC","أمريكا الشمالية"
"AR","LI","أوروبا"
"AR","LK","آسيا"
"AR","LR","أفريقيا"
"AR","LS","أفريقيا"
"AR","LT","أوروبا"
"AR","LU","أوروبا"
"AR","LV","أوروبا"
"AR","LY","أفريقيا"
"AR","MA","أفريقيا"
"AR","MC","أوروبا"
"AR","MD","أوروبا"
"AR","ME","أوروبا"
"AR","MF","أمريكا الشمالية"
"AR","MG","أفريقيا"
"AR","MH","أوقيانوسيا"
"AR","MK","أوروبا"
"AR","ML","أفريقيا"
"AR","MM","آسيا"
"AR","MN","آسيا"
"AR","MO","آسيا"
"AR","MP","أوقيانوسيا"
"AR","MQ","أمريكا الشمالية"
"AR","MR","أفريقيا"
"AR","MS","أمريكا الشمالية"
"AR","MT","أوروبا"
"AR","MU","أفريقيا"
"AR","MV","آسيا"
"AR","MW","أفريقيا"
"AR","MX","أمريكا الشمالية"
"AR","MY","آسيا"
"AR","MZ","أفريقيا"
"AR","NA","أفريقيا"
"AR","NC","أوقيانوسيا"
"AR","NE","أفريقيا"
"AR","NF","أوقيانوسيا"
"AR","NG","أفريقيا"
"AR","NI","أمريكا الشمالية"
"AR","NL","أوروبا"
"AR","NO","أوروبا"
"AR","NP","آسيا"
"AR","NR","أوقيانوسيا"
"AR","NU","أوقيانوسيا"
"AR","NZ","أوقيانوسيا"
"AR","OM","آسيا"
"AR","PA","أمريكا الشمالية"
"AR","PE","أمريكا الجنوبية"
"AR","PF","أوقيانوسيا"
"AR","PG","أوقيانوسيا"
"AR","PH","آسيا"
"AR","PK","آسيا"
"AR","PL","أوروبا"
"AR","PM","أمريكا الشمالية"
"AR","PN","أوقيانوسيا"
"AR","PR","أمريكا الشمالية"
"AR","PS","آسيا"
"AR","PT","أوروبا"
"AR","PW","أوقيانوسيا"
"AR","PY","أمريكا الجنوبية"
"AR","QA","آسيا"
"AR","RE","أفريقيا"
"AR","RO","أوروبا"
"AR","RS","أوروبا"
"AR","RU","آسيا"
"AR","RU","أوروبا"
"AR","RW","أفريقيا"
"AR","SA","آسيا"
"AR","SB","أوقيانوسيا"
"AR","SC","أفريقيا"
"AR","SD","أفريقيا"
"AR","SE","أوروبا"
"AR","SG","آسيا"
"AR","SH","أفريقيا"
"AR","SI","أوروبا"
"AR","SJ","أوروبا"
"AR","SK","أوروبا"
"AR","SL","أفريقيا"
"AR","SM","أوروبا"
"AR","SN","أفريقيا"
"AR","SO","أفريقيا"
"AR","SR","أمريكا الجنوبية"
"AR","SS","أفريقيا"
"AR","ST","أفريقيا"
"AR","SV","أمريكا الشمالية"
"AR","SX","أمريكا الشمالية"
"AR","SY","آسيا"
"AR","SZ","أفريقيا"
"AR","TC","أمريكا الشمالية"
"AR","TD","أفريقيا"
"AR","TF","انتاركتيكا"
"AR","TG","أفريقيا"
"AR","TH","آسيا"
"AR","TJ","آسيا"
"AR","TK","أوقيانوسيا"
"AR","TL","آسيا"
"AR","TM","آسيا"
"AR","TN","أفريقيا"
"AR","TO","أوقيانوسيا"
"AR","TR","آسيا"
"AR","TR","أوروبا"
"AR","TT","أمريكا الشمالية"
"AR","TV","أوقيانوسيا"
"AR","TW","آسيا"
"AR","TZ","أفريقيا"
"AR","UA","أوروبا"
"AR","UG","أفريقيا"
"AR","UM","أمريكا الشمالية"
"AR","UM","أوقيانوسيا"
"AR","US","أمريكا الشمالية"
"AR","UY","أمريكا الجنوبية"
"AR","UZ","آسيا"
"AR","VA","أوروبا"
"AR","VC","أمريكا الشمالية"
"AR","VE","أمريكا الجنوبية"
"AR","VG","أمريكا الشمالية"
"AR","VI","أمريكا الشمالية"
"AR","VN","آسيا"
"AR","VU","أوقيانوسيا"
"AR","WF","أوقيانوسيا"
"AR","WS","أوقيانوسيا"
"AR","YE","آسيا"
"AR","YT","أفريقيا"
"AR","ZA","أفريقيا"
"AR","ZM","أفريقيا"
"AR","ZW","أفريقيا"
"AZ","AD","AVROPA"
"AZ","AE","ASIYA"
"AZ","AF","ASIYA"
"AZ","AG","ŞIMAL AMERIKA"
"AZ","AI","ŞIMAL AMERIKA"
"AZ","AL","AVROPA"
"AZ","AM","ASIYA"
"AZ","AM","AVROPA"
"AZ","AO","AFRIKA"
"AZ","AQ","ANTARKTIDA"
"AZ","AR","CƏNUBI AMERIKA"
"AZ","AS","OKEANIYA"
"AZ","AT","AVROPA"
"AZ","AU","OKEANIYA"
"AZ","AW","ŞIMAL AMERIKA"
"AZ","AX","AVROPA"
"AZ","AZ","ASIYA"
"AZ","AZ","AVROPA"
"AZ","BA","AVROPA"
"AZ","BB","ŞIMAL AMERIKA"
"AZ","BD","ASIYA"
"AZ","BE","AVROPA"
"AZ","BF","AFRIKA"
"AZ","BG","AVROPA"
"AZ","BH","ASIYA"
"AZ","BI","AFRIKA"
"AZ","BJ","AFRIKA"
"AZ","BL","ŞIMAL AMERIKA"
"AZ","BM","ŞIMAL AMERIKA"
"AZ","BN","ASIYA"
"AZ","BO","CƏNUBI AMERIKA"
"AZ","BQ","ŞIMAL AMERIKA"
"AZ","BR","CƏNUBI AMERIKA"
"AZ","BS","ŞIMAL AMERIKA"
"AZ","BT","ASIYA"
"AZ","BV","ANTARKTIDA"
"AZ","BW","AFRIKA"
"AZ","BY","AVROPA"
"AZ","BZ","ŞIMAL AMERIKA"
"AZ","CA","ŞIMAL AMERIKA"
"AZ","CC","ASIYA"
"AZ","CD","AFRIKA"
"AZ","CF","AFRIKA"
"AZ","CG","AFRIKA"
"AZ","CH","AVROPA"
"AZ","CI","AFRIKA"
"AZ","CK","OKEANIYA"
"AZ","CL","CƏNUBI AMERIKA"
"AZ","CM","AFRIKA"
"AZ","CN","ASIYA"
"AZ","CO","CƏNUBI AMERIKA"
"AZ","CR","ŞIMAL AMERIKA"
"AZ","CU","ŞIMAL AMERIKA"
"AZ","CV","AFRIKA"
"AZ","CW","ŞIMAL AMERIKA"
"AZ","CX","ASIYA"
"AZ","CY","ASIYA"
"AZ","CY","AVROPA"
"AZ","CZ","AVROPA"
"AZ","DE","AVROPA"
"AZ","DJ","AFRIKA"
"AZ","DK","AVROPA"
"AZ","DM","ŞIMAL AMERIKA"
"AZ","DO","ŞIMAL AMERIKA"
"AZ","DZ","AFRIKA"
"AZ","EC","CƏNUBI AMERIKA"
"AZ","EE","AVROPA"
"AZ","EG","AFRIKA"
"AZ","EH","AFRIKA"
"AZ","ER","AFRIKA"
"AZ","ES","AVROPA"
"AZ","ET","AFRIKA"
"AZ","FI","AVROPA"
"AZ","FJ","OKEANIYA"
"AZ","FK","CƏNUBI AMERIKA"
"AZ","FM","OKEANIYA"
"AZ","FO","AVROPA"
"AZ","FR","AVROPA"
"AZ","GA","AFRIKA"
"AZ","GB","AVROPA"
"AZ","GD","ŞIMAL AMERIKA"
"AZ","GE","ASIYA"
"AZ","GE","AVROPA"
